A,B
0.240217125942,8.92
2.17564225499,8.96
0.0552224916228,8.79
0.0604432454283,8.12
0.0707385271941,8.81
0.205222857821,9.04
1.02310405814,8.43
0.649839115457,8.36
1.26585074078,7.68
0.636987213481,7.89
0.225056877951,8.58
0.044261724984,8.44
0.232791440342,7.98
4.85363382929,9.04
0.288245632415,9.39
1.55234727321,8.36
0.5239284335,8.62
0.863101775652,8.07
0.133561312347,8.53
0.0708834379645,8.26
0.335052196376,8.36
0.0808115387367,9.17
0.790583529892,8.54
0.504931654832,8.36
1.29405331898,7.74
1.01175509276,8.18
0.35492366331,8.32
0.212886722751,7.84
1.1185624071,8.67
0.269053931993,8.37
0.129243756101,8.28
0.239073472886,8.48
0.0822001844274,8.20
0.665044645566,8.39
0.507966009092,8.14
0.563996503569,7.99
0.163160878731,
2.01600959491,
0.225192700082,
0.472437330133,
12.3765293412,
0.109112530726,
0.533826592419,
3.39109813584,
0.936754908439,
0.914929903525,
0.189938620992,
1.17552518116,
0.864374154428,
1.51233143734,
0.495328645544,
0.421703240413,
0.256531765324,
1.59761525873,
0.0897329060257,
1.8141092605,
0.884513363004,
0.0877676085772,
0.349549300451,
0.106267496123,
0.297730458193,
0.225297292588,
0.741172868027,
0.269529966619,
0.90608870096,
1.23667345308,
0.259238428962,
0.380197135416,
0.393662105617,
0.683897270303,
0.34612281467,
